AELLT,AEDECOD
Lightheadedness,DIZZINESS
Liver failure,HEPATIC FAILURE
Localized itching,PRURITUS
Localized muscle pain,MYALGIA
Localized rash,RASH
Loin pain,BACK PAIN
Loss of weight,WEIGHT DECREASED
Lost weight,WEIGHT DECREASED
Low back pain,BACK PAIN
Mental confusion,CONFUSIONAL STATE
Meteorism,FLATULENCE
Microscopic hematuria,HAEMATURIA
Mucositis oral,STOMATITIS
Muscle ache,MYALGIA
Muscle pain,MYALGIA
Muscle weakness,MUSCULAR WEAKNESS
Muscular weakness,MUSCULAR WEAKNESS
Musculoskeletal pain,MUSCULOSKELETAL PAIN
Nausea post chemotherapy,NAUSEA
Neck discomfort,MUSCULOSKELETAL DISCOMFORT
Neck rash,RASH
Neuromuscular weakness,MUSCULAR WEAKNESS
Night sweat,NIGHT SWEATS
Non-cardiac chest pain,NON-CARDIAC CHEST PAIN
Nose bleed,EPISTAXIS
Nosebleed,EPISTAXIS
Nycturia,NOCTURIA
Obstipation,CONSTIPATION
Oedema legs,OEDEMA PERIPHERAL
Oedema lower limb,OEDEMA PERIPHERAL
Oedema of legs,OEDEMA PERIPHERAL
Oedema of lower extremities,OEDEMA PERIPHERAL
Oral thrush,ORAL CANDIDIASIS
Pain abdominal,ABDOMINAL PAIN
Pain burning,PAIN
Pain in arm,PAIN IN EXTREMITY
Pain in hip,ARTHRALGIA
Pain localised,PAIN
Painful feet,PAIN IN EXTREMITY
Pancreatic pain,ABDOMINAL PAIN UPPER
Pedal edema,OEDEMA PERIPHERAL
Phlegmon,CELLULITIS
Phosphatase alkaline increased,BLOOD ALKALINE PHOSPHATASE INCREASED
Pleural pain,PLEURITIC PAIN
Postprandial pain,ABDOMINAL PAIN
Pruritis,PRURITUS
Pyrexia,PYREXIA
Pyrosis,DYSPEPSIA
Rhinopharyngitis,NASOPHARYNGITIS
Rib pain,MUSCULOSKELETAL CHEST PAIN
Right lower quadrant pain,ABDOMINAL PAIN LOWER
Right upper quadrant pain,ABDOMINAL PAIN UPPER
Rigors,CHILLS
Sepsis,SEPSIS
Septicemia escherichia,ESCHERICHIA SEPSIS
Shortness of breath,DYSPNOEA
Skin hyperpigmentation,SKIN HYPERPIGMENTATION
Skin rash,RASH
Sleepiness,SOMNOLENCE
Sleepy,SOMNOLENCE
Sore throat,OROPHARYNGEAL PAIN
Specific allergy (drug),DRUG HYPERSENSITIVITY
Stomach feeling heavy,ABDOMINAL DISCOMFORT
Stomach pain,ABDOMINAL PAIN UPPER
Strength loss of,ASTHENIA
Superficial phlebitis of leg,PHLEBITIS SUPERFICIAL
Superficial thrombophlebitis of leg,THROMBOPHLEBITIS SUPERFICIAL
Superficial venous thrombosis of arm,THROMBOPHLEBITIS SUPERFICIAL
Swelling of feet,OEDEMA PERIPHERAL
Swelling of hands,OEDEMA PERIPHERAL
Swelling of legs,OEDEMA PERIPHERAL
Swelling of limb,OEDEMA PERIPHERAL
Taste alteration,DYSGEUSIA
Taste changed,DYSGEUSIA
Throat pain,OROPHARYNGEAL PAIN
Thrombopenia,THROMBOCYTOPENIA
Thrombosis venous superficial,THROMBOPHLEBITIS SUPERFICIAL
Tiredness,FATIGUE
Tumour pain,TUMOUR PAIN
UTI,URINARY TRACT INFECTION
Upper abdominal pain,ABDOMINAL PAIN UPPER
Urinary frequency,POLLAKIURIA
Urinary tract infection,URINARY TRACT INFECTION
Ventricular extrasystoles,VENTRICULAR EXTRASYSTOLES
Visual disturbance,VISUAL IMPAIRMENT
Voice alteration,DYSPHONIA
Weakness generalised,ASTHENIA
Wrist pain,ARTHRALGIA
