CODELISTNAME,RANK,CODEDVALUE,TRANSLATED,TYPE,CODELISTDICTIONARY,CODELISTVERSION,ORDERNUMBER,sourcedataset,sourcevariable,sourcevalue,sourcetype
BONERESP,4,PD,PD,text,MedDRA,21.1,,,,,character
BONERESP,5,PDu,PDu,text,MedDRA,21.1,,,,,character
CALCFIND,1,N,N,text,SDTM Terminology,10/6/2014,,,,,character
CALCFIND,2,U,U,text,SDTM Terminology,10/6/2014,,,,,character
CALCFIND,3,Y,Y,text,SDTM Terminology,10/6/2014,,,,,character
CLINRESP,1,cCR,cCR,text,SDTM Terminology,10/6/2014,,,,,character
CLINRESP,2,cPR,cPR,text,SDTM Terminology,10/6/2014,,,,,character
COUNTRY,1,USA,USA,text,SDTM Terminology,10/6/2014,,,,,character
COUNTRY,2,CAN,CAN,text,SDTM Terminology,10/6/2014,,,,,character
COUNTRY,3,IND,IND,text,SDTM Terminology,10/6/2014,,,,,character
COUNTRY,4,FRA,FRA,text,SDTM Terminology,10/6/2014,,,,,character
COUNTRY,5,DEU,DEU,text,SDTM Terminology,10/6/2014,,,,,character
CYTORESP,1,CYTOGENETIC CR,CYTOGENETIC CR,text,SDTM Terminology,10/6/2014,,,,,character
CYTORESP,2,CYTOGENETIC MINIMAL RESPONSE,CYTOGENETIC MINIMAL RESPONSE,text,SDTM Terminology,10/6/2014,,,,,character
CYTORESP,3,CYTOGENETIC MINOR RESPONSE,CYTOGENETIC MINOR RESPONSE,text,SDTM Terminology,10/6/2014,,,,,character
CYTORESP,4,CYTOGENETIC NO RESPONSE,CYTOGENETIC NO RESPONSE,text,SDTM Terminology,10/6/2014,,,,,character
CYTORESP,5,CYTOGENETIC PR,CYTOGENETIC PR,text,SDTM Terminology,10/6/2014,,,,,character
DIR,1,ANTERIOR,ANTERIOR,text,SDTM Terminology,10/6/2014,,,,,character
DIR,2,ANTEROMEDIAL,ANTEROMEDIAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,3,APICAL,APICAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,4,BASAL,BASAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,5,CAUDAL,CAUDAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,6,CENTRAL,CENTRAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,7,CRANIAL,CRANIAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,8,DEEP,DEEP,text,SDTM Terminology,10/6/2014,,,,,character
DIR,9,DISTAL,DISTAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,10,DISTAL VOLAR,DISTAL VOLAR,text,SDTM Terminology,10/6/2014,,,,,character
DIR,11,DORSAL,DORSAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,12,DORSOLATERAL,DORSOLATERAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,13,FORE,FORE,text,SDTM Terminology,10/6/2014,,,,,character
DIR,14,HIND,HIND,text,SDTM Terminology,10/6/2014,,,,,character
DIR,15,INFERIOR,INFERIOR,text,SDTM Terminology,10/6/2014,,,,,character
DIR,16,INNER,INNER,text,SDTM Terminology,10/6/2014,,,,,character
DIR,17,INTERMEDIATE,INTERMEDIATE,text,SDTM Terminology,10/6/2014,,,,,character
DIR,18,LATERAL,LATERAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,19,LOWER,LOWER,text,SDTM Terminology,10/6/2014,,,,,character
DIR,20,LOWER EXTENSOR SURFACE,LOWER EXTENSOR SURFACE,text,SDTM Terminology,10/6/2014,,,,,character
DIR,21,LOWER FLEXOR SURFACE,LOWER FLEXOR SURFACE,text,SDTM Terminology,10/6/2014,,,,,character
DIR,22,LOWER MEDIAL,LOWER MEDIAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,23,MEDIAL,MEDIAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,24,MIDLINE,MIDLINE,text,SDTM Terminology,10/6/2014,,,,,character
DIR,25,NASAL,NASAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,26,OUTER,OUTER,text,SDTM Terminology,10/6/2014,,,,,character
DIR,27,PERIPHERAL,PERIPHERAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,28,POSTERIOR,POSTERIOR,text,SDTM Terminology,10/6/2014,,,,,character
DIR,29,PROXIMAL,PROXIMAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,30,PROXIMAL VOLAR,PROXIMAL VOLAR,text,SDTM Terminology,10/6/2014,,,,,character
DIR,31,ROSTRAL,ROSTRAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,32,SUPERFICIAL,SUPERFICIAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,33,SUPERIOR,SUPERIOR,text,SDTM Terminology,10/6/2014,,,,,character
DIR,34,SURFACE,SURFACE,text,SDTM Terminology,10/6/2014,,,,,character
DIR,35,TEMPORAL,TEMPORAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,36,TIP,TIP,text,SDTM Terminology,10/6/2014,,,,,character
DIR,37,UPPER,UPPER,text,SDTM Terminology,10/6/2014,,,,,character
DIR,38,UPPER EXTENSOR SURFACE,UPPER EXTENSOR SURFACE,text,SDTM Terminology,10/6/2014,,,,,character
DIR,39,UPPER FLEXOR SURFACE,UPPER FLEXOR SURFACE,text,SDTM Terminology,10/6/2014,,,,,character
DIR,40,VENTRAL,VENTRAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,41,VENTROLATERAL,VENTROLATERAL,text,SDTM Terminology,10/6/2014,,,,,character
DIR,42,VOLAR,VOLAR,text,SDTM Terminology,10/6/2014,,,,,character
DRCRIND,1,N,N,text,SDTM Terminology,10/6/2014,,,,,character
DRCRIND,2,U,U,text,SDTM Terminology,10/6/2014,,,,,character
DRCRIND,3,Y,Y,text,SDTM Terminology,10/6/2014,,,,,character
DRCRLTLC,1,DISTANT,DISTANT,text,SDTM Terminology,10/6/2014,,,,,character
DRCRLTLC,2,LOCAL,LOCAL,text,SDTM Terminology,10/6/2014,,,,,character
DRCRLTLC,3,LOCOREGIONAL,LOCOREGIONAL,text,SDTM Terminology,10/6/2014,,,,,character
DRCRLTLC,4,REGIONAL,REGIONAL,text,SDTM Terminology,10/6/2014,,,,,character
DSCAT,1,DISPOSITION EVENT,DISPOSITION EVENT,text,SDTM Terminology,10/6/2014,,ds,DSSCAT,DEATH,character
DSCAT,2,OTHER EVENT,OTHER EVENT,text,SDTM Terminology,10/6/2014,,,,,character
DSCAT,3,PROTOCOL MILESTONE,PROTOCOL MILESTONE,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,1,10 LEAD STANDARD,10 LEAD STANDARD,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,2,12 LEAD 1 LEAD MISSING,12 LEAD 1 LEAD MISSING,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,3,12 LEAD CABRERA,12 LEAD CABRERA,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,4,12 LEAD CONTINUOUS ECG,12 LEAD CONTINUOUS ECG,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,5,12 LEAD EASI DOWER TRANSFORMATION,12 LEAD EASI DOWER TRANSFORMATION,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,6,12 LEAD ECG EXTRACTED FROM 12 LEAD CONTINUOUS ECG RECORDING,12 LEAD ECG EXTRACTED FROM 12 LEAD CONTINUOUS ECG RECORDING,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,7,12 LEAD MASON LIKAR,12 LEAD MASON LIKAR,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,8,12 LEAD MODIFIED MASON LIKAR,12 LEAD MODIFIED MASON LIKAR,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,9,12 LEAD NON-STANDARD,12 LEAD NON-STANDARD,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,10,12 LEAD RIGHT-SIDED PRECORDIAL LEADS,12 LEAD RIGHT-SIDED PRECORDIAL LEADS,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,11,12 LEAD SINGLE PAD,12 LEAD SINGLE PAD,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,12,12 LEAD STANDARD,12 LEAD STANDARD,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,13,12 LEAD UNSPECIFIED,12 LEAD UNSPECIFIED,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,14,6 LEAD NEHB-SPORI,6 LEAD NEHB-SPORI,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,15,6 LEAD STANDARD,6 LEAD STANDARD,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,16,8 LEAD STANDARD,8 LEAD STANDARD,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,17,BIPOLAR UNCORRECTED XYZ LEAD SYSTEM,BIPOLAR UNCORRECTED XYZ LEAD SYSTEM,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,18,CONTINUOUS AMBULATORY ECG,CONTINUOUS AMBULATORY ECG,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,19,CONTINUOUS ECG RECORDING FOR NON-HUMAN SPECIES USING IMPLANTED LEADS,CONTINUOUS ECG RECORDING FOR NON-HUMAN SPECIES USING IMPLANTED LEADS,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,20,CONTINUOUS SURFACE ECG RECORDING FOR NON-HUMAN SPECIES,CONTINUOUS SURFACE ECG RECORDING FOR NON-HUMAN SPECIES,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,21,CUBE LEAD SYSTEM,CUBE LEAD SYSTEM,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,22,FRANK LEAD SYSTEM,FRANK LEAD SYSTEM,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,23,HOLTER CONTINUOUS ECG RECORDING,HOLTER CONTINUOUS ECG RECORDING,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,24,MCFEE-PARUNGAO LEAD SYSTEM,MCFEE-PARUNGAO LEAD SYSTEM,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,25,PSEUDO-ORTHOGONAL XYZ LEAD SYSTEM,PSEUDO-ORTHOGONAL XYZ LEAD SYSTEM,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,26,STANDARD 12-LEAD AND CC5-CM5-ML,STANDARD 12-LEAD AND CC5-CM5-ML,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,27,STANDARD 12-LEAD AND CM5-CC5-CH5,STANDARD 12-LEAD AND CM5-CC5-CH5,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,28,STANDARD 12-LEAD EXTENDED LEFT,STANDARD 12-LEAD EXTENDED LEFT,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,29,STANDARD 12-LEAD EXTENDED RIGHT,STANDARD 12-LEAD EXTENDED RIGHT,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,30,STANDARD LEADS FOR BICYCLE EXERCISE,STANDARD LEADS FOR BICYCLE EXERCISE,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,31,STANDARD LEADS ONE INTERCOSTAL SPACE HIGHER,STANDARD LEADS ONE INTERCOSTAL SPACE HIGHER,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,32,VECTORCARDIOGRAPH CORRECTED,VECTORCARDIOGRAPH CORRECTED,text,SDTM Terminology,10/6/2014,,,,,character
EGMETHOD,33,VECTORCARDIOGRAPH UNCORRECTED,VECTORCARDIOGRAPH UNCORRECTED,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,1,1ST DEGREE AV BLOCK,1ST DEGREE AV BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,2,2:1 AV BLOCK,2:1 AV BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,3,2ND DEGREE AV BLOCK,2ND DEGREE AV BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,4,3RD DEGREE AV BLOCK,3RD DEGREE AV BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,5,50 Hz NOISE,50 Hz NOISE,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,6,60 Hz NOISE,60 Hz NOISE,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,7,ABERRANTLY CONDUCTED COMPLEXES,ABERRANTLY CONDUCTED COMPLEXES,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,8,AC NOISE,AC NOISE,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,9,ACCELERATED IDIOVENTRICULAR RHYTHM,ACCELERATED IDIOVENTRICULAR RHYTHM,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,10,ACUTE ANTERIOR WALL MYOCARDIAL INFARCTION,ACUTE ANTERIOR WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,11,ACUTE ANTEROLATERAL WALL MYOCARDIAL INFARCTION,ACUTE ANTEROLATERAL WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,12,ACUTE ANTEROSEPTAL WALL MYOCARDIAL INFARCTION,ACUTE ANTEROSEPTAL WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,13,ACUTE EXTENSIVE ANTERIOR WALL MYOCARDIAL INFARCTION,ACUTE EXTENSIVE ANTERIOR WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,14,ACUTE HIGH LATERAL WALL MYOCARDIAL INFARCTION,ACUTE HIGH LATERAL WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,15,ACUTE INFERIOR WALL MYOCARDIAL INFARCTION,ACUTE INFERIOR WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,16,ACUTE LATERAL WALL MYOCARDIAL INFARCTION,ACUTE LATERAL WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,17,ACUTE MYOCARDIAL INFARCTION,ACUTE MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,18,ACUTE POSTERIOR WALL MYOCARDIAL INFARCTION,ACUTE POSTERIOR WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,19,ACUTE RIGHT VENTRICULAR WALL MYOCARDIAL INFARCTION,ACUTE RIGHT VENTRICULAR WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,20,ACUTE SEPTAL WALL MYOCARDIAL INFARCTION,ACUTE SEPTAL WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,21,ADVANCED/HIGH GRADE AV BLOCK,ADVANCED/HIGH GRADE AV BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,22,ALL PRECORDIAL ELECTRODES DISCONNECTED,ALL PRECORDIAL ELECTRODES DISCONNECTED,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,23,ANTERIOR WALL MYOCARDIAL INFARCTION,ANTERIOR WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,24,ANTEROLATERAL WALL MYOCARDIAL INFARCTION,ANTEROLATERAL WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,25,ANTEROSEPTAL WALL MYOCARDIAL INFARCTION,ANTEROSEPTAL WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,26,ARTIFACT,ARTIFACT,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,27,ASYSTOLE,ASYSTOLE,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,28,ATRIAL BIGEMINY,ATRIAL BIGEMINY,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,29,ATRIAL COUPLETS,ATRIAL COUPLETS,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,30,ATRIAL ENLARGEMENT,ATRIAL ENLARGEMENT,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,31,ATRIAL FIBRILLATION,ATRIAL FIBRILLATION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,32,ATRIAL FLUTTER,ATRIAL FLUTTER,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,33,ATRIAL TACHYCARDIA,ATRIAL TACHYCARDIA,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,34,ATRIAL TACHYCARDIA WITH AV BLOCK,ATRIAL TACHYCARDIA WITH AV BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,35,ATRIAL TRIGEMINY,ATRIAL TRIGEMINY,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,36,ATRIOVENTRICULAR DISSOCIATION,ATRIOVENTRICULAR DISSOCIATION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,37,AV MOBITZ I,AV MOBITZ I,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,38,AV MOBITZ II,AV MOBITZ II,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,39,AV NODE RE-ENTRY,AV NODE RE-ENTRY,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,40,AV RE-ENTRANT TACHYCARDIA,AV RE-ENTRANT TACHYCARDIA,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,41,BASELINE WANDER,BASELINE WANDER,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,42,BIFASCICULAR BLOCK,BIFASCICULAR BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,43,BIVENTRICULAR HYPERTROPHY,BIVENTRICULAR HYPERTROPHY,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,44,BORDERLINE QTCB,BORDERLINE QTCB,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,45,BORDERLINE QTCF,BORDERLINE QTCF,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,46,BRADYCARDIA,BRADYCARDIA,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,47,BRUGADA SYNDROME PATTERN,BRUGADA SYNDROME PATTERN,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,48,CV ENDPOINTS ISCHEMIC ECG CHANGES,CV ENDPOINTS ISCHEMIC ECG CHANGES,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,49,DELTA WAVE,DELTA WAVE,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,50,DEXTROCARDIA,DEXTROCARDIA,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,51,EARLY R WAVE TRANSITION,EARLY R WAVE TRANSITION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,52,EARLY REPOLARIZATION,EARLY REPOLARIZATION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,53,ECG ACQUIRED WITH PRECORDIAL ELECTRODES PLACED ON RIGHT CHEST,ECG ACQUIRED WITH PRECORDIAL ELECTRODES PLACED ON RIGHT CHEST,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,54,ECG EVALUATION NOT PERFORMED DUE TO CORRUPTED DIGITAL ECG FILE,ECG EVALUATION NOT PERFORMED DUE TO CORRUPTED DIGITAL ECG FILE,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,55,ECG EVALUATION NOT PERFORMED DUE TO POOR QUALITY OF PRINTED ECG,ECG EVALUATION NOT PERFORMED DUE TO POOR QUALITY OF PRINTED ECG,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,56,ECG EVALUATION NOT PERFORMED DUE TO UNKNOWN ECG AMPLITUDE GAIN OR RECORDING SPEED,ECG EVALUATION NOT PERFORMED DUE TO UNKNOWN ECG AMPLITUDE GAIN OR RECORDING SPEED,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,57,ECTOPIC ATRIAL RHYTHM,ECTOPIC ATRIAL RHYTHM,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,58,ECTOPIC VENTRICULAR RHYTHM,ECTOPIC VENTRICULAR RHYTHM,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,59,ELECTRICAL ALTERNANS,ELECTRICAL ALTERNANS,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,60,EXTENSIVE ANTERIOR WALL MYOCARDIAL INFARCTION,EXTENSIVE ANTERIOR WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,61,FUSION COMPLEX,FUSION COMPLEX,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,62,HIGH LATERAL WALL MYOCARDIAL INFARCTION,HIGH LATERAL WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,63,IDIOVENTRICULAR RHYTHM,IDIOVENTRICULAR RHYTHM,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,64,INCOMPLETE ECG,INCOMPLETE ECG,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,65,INCOMPLETE LEFT BUNDLE BRANCH BLOCK,INCOMPLETE LEFT BUNDLE BRANCH BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,66,INCOMPLETE MEASUREMENTS DUE TO TRUNCATION OF QRS COMPLEXES,INCOMPLETE MEASUREMENTS DUE TO TRUNCATION OF QRS COMPLEXES,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,67,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,68,INCOMPLETELY DIGITIZED ECG LEAD(S),INCOMPLETELY DIGITIZED ECG LEAD(S),text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,69,INCORRECTLY SCALED ECG,INCORRECTLY SCALED ECG,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,70,INDETERMINATE QRS AXIS,INDETERMINATE QRS AXIS,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,71,INFERIOR WALL MYOCARDIAL INFARCTION,INFERIOR WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,72,INSUFFICENT NUMBER OF BEATS TO COMPLETELY EVALUATE ECG,INSUFFICENT NUMBER OF BEATS TO COMPLETELY EVALUATE ECG,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,73,INTRAATRIAL CONDUCTION DELAY,INTRAATRIAL CONDUCTION DELAY,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,74,"INTRAVENTRICULAR CONDUCTION DELAY, NONSPECIFIC","INTRAVENTRICULAR CONDUCTION DELAY, NONSPECIFIC",text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,75,INVALID ECG WAVEFORMS,INVALID ECG WAVEFORMS,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,76,ISORHYTHMIC DISSOCIATION,ISORHYTHMIC DISSOCIATION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,77,J POINT ELEVATION,J POINT ELEVATION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,78,JUNCTIONAL BRADYCARDIA,JUNCTIONAL BRADYCARDIA,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,79,JUNCTIONAL ESCAPE COMPLEXES,JUNCTIONAL ESCAPE COMPLEXES,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,80,JUNCTIONAL ESCAPE RHYTHM,JUNCTIONAL ESCAPE RHYTHM,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,81,JUNCTIONAL PREMATURE COMPLEX,JUNCTIONAL PREMATURE COMPLEX,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,82,JUNCTIONAL RHYTHM,JUNCTIONAL RHYTHM,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,83,JUNCTIONAL TACHYCARDIA,JUNCTIONAL TACHYCARDIA,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,84,LATE R WAVE TRANSITION,LATE R WAVE TRANSITION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,85,LATERAL WALL MYOCARDIAL INFARCTION,LATERAL WALL MYOCARDIAL INFARCTION,text,SDTM Terminology,10/6/2014,,,,,character
EGSTRESC,86,LEFT ANTERIOR FASCICULAR BLOCK,LEFT ANTERIOR FASCICULAR BLOCK,text,SDTM Terminology,10/6/2014,,,,,character
