MHTERM,Lowest_Level_Term,Preferred_Term,High_Level_Term,High_Level_Group_Term,Body_System_Or_Organ_Class,AESOC
Arthritis,Arthritis NOS,Arthritis,Arthropathies NEC,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Arthrodesis,Arthrodesis NOS,Arthrodesis,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Arthrosis,Arthrosis,Osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Arthrosis multiple,Arthrosis multiple,Osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Ascites,Peritoneal effusion,Ascites,Hepatobiliary signs and symptoms,Hepatic and hepatobiliary disorders,Hepatobiliary disorders,Hepatobiliary disorders
Ascites drainage,Ascites drainage,Abdominal cavity drainage,Abdominal therapeutic procedures NEC,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Asthenia,Weakness,Asthenia,Asthenic conditions,General system disorders NEC,General system disorders NEC,General system disorders NEC
Asthma,"Asthma, unspecified",Asthma,Allergic conditions NEC,Allergic conditions,Immune system disorders,Immune system disorders
Asthma bronchial,Asthma bronchial,Asthma,Allergic conditions NEC,Allergic conditions,Immune system disorders,Immune system disorders
Atelectasis,Lobar collapse,Atelectasis,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Atherosclerosis,Atherosclerosis,Arteriosclerosis,Non-site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Atherosclerosis of aorta,Atherosclerosis of aorta,Aortic arteriosclerosis,Aortic necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Atherosclerotic cardiovascular disease,Atherosclerotic cardiovascular disease,Arteriosclerosis,Non-site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Atrial fibrillation,Fibrillation atrial,Atrial fibrillation,Supraventricular arrhythmias,Cardiac arrhythmias,Cardiac disorders,Cardiac disorders
Atrophic gastritis,Atrophic gastritis,Chronic gastritis,Gastritis (excl infective),Gastrointestinal inflammatory conditions,Gastrointestinal disorders,Gastrointestinal disorders
Atrophy kidney,Atrophy kidney,Renal atrophy,Renal structural abnormalities and trauma,Renal disorders (excl nephropathies),Renal and urinary disorders,Renal and urinary disorders
Autoimmune thyroiditis,Hashimoto's disease,Autoimmune thyroiditis,Endocrine autoimmune disorders,Autoimmune disorders,Immune system disorders,Immune system disorders
BPH,BPH,Benign prostatic hyperplasia,Prostatic neoplasms and hypertrophy,Prostatic disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
Back injury,Back injury NOS,Back injury,Site specific injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Back pain,Pain back,Back pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Back surgery,Back surgery,Spinal operation,Spine and spinal cord therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures,Surgical and medical procedures
Barrett's esophagus,Barrett's esophagus,Barrett's oesophagus,Gastrointestinal mucosal dystrophies and secretion disorders,Gastrointestinal conditions NEC,Gastrointestinal disorders,Gastrointestinal disorders
Barrett's oesophagitis,Barrett's oesophagitis,Barrett's oesophagus,Barrett's oesophagus,Gastrointestinal conditions NEC,Gastrointestinal disorders,Gastrointestinal disorders
Basal cell carcinoma,Carcinoma basal cell,Basal cell carcinoma,Skin neoplasms malignant and unspecified (excl melanoma),Skin neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Basal cell carcinoma excision,Basal cell carcinoma excision,Skin neoplasm excision,Skin lesion excisions,Skin and subcutaneous tissue therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Benign breast lump removal,Benign breast lump removal,Benign breast lump removal,Breast neoplasm removal,Breast therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Benign colonic polyp,Benign colonic polyp,Large intestine polyp,Lower gastrointestinal neoplasms benign,Gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Benign parotid tumor,Benign parotid tumor,Benign salivary gland neoplasm,Benign oral cavity neoplasms,Benign neoplasms gastrointestinal,Gastrointestinal disorders,Gastrointestinal disorders
Benign prostatic hyperplasia,BPH,Benign prostatic hyperplasia,Prostatic neoplasms and hypertrophy,Prostatic disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
Benign prostatic hypertrophy,Benign prostatic hypertrophy,Benign prostatic hyperplasia,Prostatic neoplasms and hypertrophy,Prostatic disorders (excl infections and inflammations),Reproductive system and breast disorders,Reproductive system and breast disorders
Benign thyroid nodule,Benign thyroid nodule,Benign neoplasm of thyroid gland,Thyroid neoplasms,Thyroid gland disorders,Endocrine disorders,Endocrine disorders
Bile duct obstruction,Bile duct obstruction NOS,Bile duct obstruction,Obstructive bile duct disorders (excl neoplasms),Bile duct disorders,Hepatobiliary disorders,Hepatobiliary disorders
Bile duct stent insertion,Bile duct stent insertion,Bile duct stent insertion,Biliary tract and gallbladder therapeutic procedures,Hepatobiliary therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Biliary drainage,Gallbladder drainage,Biliary drainage,Biliary tract and gallbladder therapeutic procedures,Hepatobiliary therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Biliary sphincterotomy,Biliary sphincterotomy,Biliary sphincterotomy,Pancreatic therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Biliary tract disorder NOS,Biliary tract disorder NOS,Biliary tract disorder,Structural and other bile duct disorders,Bile duct disorders,Hepatobiliary disorders,Hepatobiliary disorders
Billroth's operation I,Billroth's operation I,Gastrectomy,Gastric therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Billroth's operation II,Billroth's operation II,Gastrectomy,Gastric therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Biopsy pancreas,Fine needle aspiration of pancreas,Biopsy pancreas,Gastrointestinal histopathology procedures,Gastrointestinal investigations,Investigations,Investigations
Bipolar disorder,"Bipolar affective disorder, unspecified",Bipolar disorder,Bipolar disorders,Manic and bipolar mood disorders and disturbances,Psychiatric disorders,Psychiatric disorders
Bladder operation,Bladder operation NOS,Bladder operation,Bladder therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Bladder suspension,Bladder suspension,Urinary bladder suspension,Bladder therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Bloating,Bloating,Abdominal distension,"Flatulence, bloating and distension",Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Blood pressure high,Blood pressure high,Hypertension,Vascular hypertensive disorders NEC,Vascular hypertensive disorders,Vascular disorders,Vascular disorders
Blood pressure increased,Pressure blood increased,Blood pressure increased,Vascular tests NEC (incl blood pressure),Cardiac and vascular investigations (excl enzyme tests),Investigations,Investigations
Blood transfusion,Blood transfusion,Transfusion,Blood and blood product treatment,Blood and blood product treatment,Surgical and medical procedures,Surgical and medical procedures
Bone infection,Bone infection,Osteomyelitis,Bone and joint infections (excl arthritis),Bone disorders (excl congenital and fractures),Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Bone mineral content decreased,Bone mineral content decreased,Bone density decreased,Musculoskeletal and soft tissue imaging procedures,Musculoskeletal and soft tissue investigations (excl enzyme tests),Investigations,Investigations
Bone operation,Bone operation NOS,Bone operation,Bone therapeutic procedures NEC,Bone and joint therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Borrelia infection,Borrelia infection NOS,Borrelia infection,Borrelial infections,Bacterial infectious disorders,Infections and infestations,Infections and infestations
Bowel obstruction,Bowel obstruction,Intestinal obstruction,Gastrointestinal stenosis and obstruction NEC,Gastrointestinal stenosis and obstruction,Gastrointestinal disorders,Gastrointestinal disorders
Brachytherapy to prostate,Prostate implant brachytherapy,Brachytherapy to prostate,Prostatic radiotherapies,Male genital tract therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Breast cancer,Breast cancer NOS,Breast cancer,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Breast cancer stage I,Breast cancer NOS stage I,Breast cancer stage I,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Breast lump (benign),Breast lump (benign),Benign breast neoplasm,Breast and nipple neoplasms benign,Breast neoplasms benign (incl nipple),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Breast lump removal,Breast lump removal,Breast conserving surgery,Mastectomies,Breast therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Breast operation,Breast operation NOS,Breast operation,Breast therapeutic procedures NEC,Breast therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Bronchiectasis,Bronchiectasis NOS,Bronchiectasis,Bronchial conditions NEC,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Bronchitis chronic,Bronchitis chronic NOS,Bronchitis chronic,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Bulbitis of duodenum,Bulbitis of duodenum,Duodenitis,Gastrointestinal inflammatory disorders NEC,Gastrointestinal inflammatory conditions,Gastrointestinal disorders,Gastrointestinal disorders
C-section,C-section,Caesarean section,Obstetric therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
COPD,COPD,Chronic obstructive pulmonary disease,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Cachexia,Wasting generalized,Cachexia,Asthenic conditions,General system disorders NEC,General disorders and administration site conditions,General disorders and administration site conditions
Caesarean section,Cesarean section,Caesarean section,Obstetric therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Calcaneus fracture,Calcaneus fracture,Foot fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Cancer pain,Metastatic pain,Cancer pain,Oncologic complications and emergencies,Neoplasm related morbidities,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Cardiac arrhythmia,Cardiac arrhythmia,Arrhythmia,Rate and rhythm disorders NEC,Cardiac arrhythmias,Cardiac disorders,Cardiac disorders
Carotid arteriosclerosis,Carotid artery atheroma,Carotid arteriosclerosis,Cerebrovascular and spinal necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Carpal tunnel release,Carpal tunnel release,Carpal tunnel decompression,Peripheral nerve therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures,Surgical and medical procedures
Carpal tunnel syndrome,Unilateral carpal tunnel syndrome,Carpal tunnel syndrome,Mononeuropathies,Peripheral neuropathies,Nervous system disorders,Nervous system disorders
Cataract,Cataract NOS,Cataract,Cataract conditions,"Anterior eye structural change, deposit and degeneration",Eye disorders,Eye disorders
Cataract extraction,Cataract extraction,Cataract operation,Lens therapeutic procedures,Eye therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Cataract operation,Cataract extraction,Cataract operation,Lens therapeutic procedures,Eye therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Cataracts,Cataracts,Cataract,Cataract conditions,"Anterior eye structural change, deposit and degeneration",Eye disorders,Eye disorders
Cecal polyp,Cecal polyp,Large intestine polyp,Lower gastrointestinal neoplasms benign,Gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Celiac disease,Celiac disease,Coeliac disease,Food malabsorption and intolerance syndromes (excl sugar intolerance),Food intolerance syndromes,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Celiac sprue,Celiac sprue,Coeliac disease,Food malabsorption and intolerance syndromes (excl sugar intolerance),Food intolerance syndromes,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Central line placement,Central line placement,Central venous catheterisation,Venous therapeutic procedures,Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Central obesity,Truncal obesity,Central obesity,General nutritional disorders NEC,Appetite and general nutritional disorders,Metabolism and nutrition disorders,Metabolism and nutrition disorders
Central venous catheterization,Central venous catheterization,Central venous catheterisation,Venous therapeutic procedures,Vascular therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Cerebral atherosclerosis,Cerebral atherosclerosis,Cerebral arteriosclerosis,Cerebrovascular and spinal necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Cervical spondylosis,Cervical spondylosis,Spinal osteoarthritis,Osteoarthropathies,Joint disorders,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Cervix cautery,Cervical cautery,Cervix cautery,Cervix therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Cesarean section,Cesarean section,Caesarean section,Obstetric therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Chest pain (non-cardiac),Chest pain (non-cardiac),Non-cardiac chest pain,Respiratory signs and symptoms NEC,Respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Cholangiogram,Cholangiography,Cholangiogram,Hepatobiliary imaging procedures,Hepatobiliary investigations,Investigations,Investigations
Cholangitis chronic,Cholangitis chronic NOS,Cholangitis chronic,Bile duct infections and inflammations,Bile duct disorders,Hepatobiliary disorders,Hepatobiliary disorders
Cholecystectomy,Cholecystectomy,Cholecystectomy,Biliary tract and gallbladder therapeutic procedures,Hepatobiliary therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Cholecystitis,Cholecystitis NOS,Cholecystitis,Cholecystitis and cholelithiasis,Gallbladder disorders,Hepatobiliary disorders,Hepatobiliary disorders
Cholecystitis chronic,Cholecystitis chronic NOS,Cholecystitis chronic,Cholecystitis and cholelithiasis,Gallbladder disorders,Hepatobiliary disorders,Hepatobiliary disorders
Cholecystolithiasis,Cholecystolithiasis,Cholelithiasis,Cholecystitis and cholelithiasis,Gallbladder disorders,Hepatobiliary disorders,Hepatobiliary disorders
Cholecystostomy,Cholecystostomy,Cholecystostomy,Biliary tract and gallbladder therapeutic procedures,Hepatobiliary therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Choledochal cyst,Choledochal cyst,Choledochal cyst,Hepatobiliary abnormalities congenital,Hepatobiliary disorders congenital,"Congenital, familial and genetic disorders","Congenital, familial and genetic disorders"
Choledochoduodenostomy,Choledochoduodenostomy,Choledochoenterostomy,Biliary tract and gallbladder therapeutic procedures,Hepatobiliary therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Choledocholithiasis,Choledocholithiasis,Bile duct stone,Obstructive bile duct disorders (excl neoplasms),Bile duct disorders,Hepatobiliary disorders,Hepatobiliary disorders
Cholelithiasis,Cholelithiasis,Cholelithiasis,Cholecystitis and cholelithiasis,Gallbladder disorders,Hepatobiliary disorders,Hepatobiliary disorders
Choluria,Biliuria,Choluria,Urinary abnormalities,Urinary tract signs and symptoms,Renal and urinary disorders,Renal and urinary disorders
Chronic abdominal pain,Chronic abdominal pain,Abdominal pain,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastrointestinal disorders,Gastrointestinal disorders
Chronic back pain,Chronic back pain,Back pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders,Musculoskeletal and connective tissue disorders
Chronic bronchitis,Chronic bronchitis,Bronchitis chronic,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Chronic cystitis,Chronic cystitis,Cystitis,Bladder infections and inflammations,Bladder and bladder neck disorders (excl calculi),Renal and urinary disorders,Renal and urinary disorders
Chronic enterocolitis,Chronic enterocolitis,Enterocolitis,Gastrointestinal inflammatory disorders NEC,Gastrointestinal inflammatory conditions,Gastrointestinal disorders,Gastrointestinal disorders
Chronic gastritis,Gastritis chronic,Chronic gastritis,Gastritis (excl infective),Gastrointestinal inflammatory conditions,Gastrointestinal disorders,Gastrointestinal disorders
Chronic headaches,Chronic headaches,Headache,Headaches NEC,Headaches,Nervous system disorders,Nervous system disorders
"Chronic ischaemic heart disease, unspecified","Chronic ischaemic heart disease, unspecified",Myocardial ischaemia,Ischaemic coronary artery disorders,Coronary artery disorders,Cardiac disorders,Cardiac disorders
Chronic obstructive pulmonary disease,COPD,Chronic obstructive pulmonary disease,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders"
Chronic pancreatitis,Chronic pancreatitis,Pancreatitis chronic,Acute and chronic pancreatitis,Exocrine pancreas conditions,Gastrointestinal disorders,Gastrointestinal disorders
Chronic prostatitis,Chronic prostatitis,Prostatitis,Prostate and seminal vesicles infections and inflammations,Male reproductive tract infections and inflammations,Reproductive system and breast disorders,Reproductive system and breast disorders
Chronic pyelonephritis,Chronic pyelonephritis,Pyelonephritis chronic,Renal infections and inflammations (excl nephritis),Renal disorders (excl nephropathies),Renal and urinary disorders,Renal and urinary disorders
Chronic venous insufficiency,Chronic venous insufficiency,Peripheral venous disease,Non-site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Claudication,Claudication,Intermittent claudication,"Peripheral vasoconstriction, necrosis and vascular insufficiency","Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders,Vascular disorders
Clavicle fracture,Fracture of clavicle,Clavicle fracture,Limb fractures and dislocations,Bone and joint injuries,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Colectomy,Colectomy NOS,Colectomy,Large intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Colon polypectomy,Colon polypectomy,Large intestinal polypectomy,Large intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures,Surgical and medical procedures
Colonic diverticulosis,Colonic diverticulosis,Diverticulum intestinal,Diverticula,Diverticular disorders,Gastrointestinal disorders,Gastrointestinal disorders
Colonic polyp,Colonic polyp,Large intestine polyp,Lower gastrointestinal neoplasms benign,Gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)","Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Concussion,"Concussion, unspecified",Concussion,Cerebral injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications","Injury, poisoning and procedural complications"
Confusion,Confusion,Confusional state,Confusion and disorientation,Deliria (incl confusion),Psychiatric disorders,Psychiatric disorders
