CMTRT,CMDECOD,Anatomical Class,Anatomical Class Code,Therapeutic Class,Therapeutic Class Code,Pharmacological Class,Pharmacological Class Code,Chemical Class,ATC Code
ACICLOVIR,Aciclovir,Dermatologicals,D,Antibiotics And Chemother. For Dermatological Use,D06,Chemotherapeutics For Topical Use,D06B,Antivirals,D06BB
ACICLOVIR SODIUM,Aciclovir Sodium,Antiinfectives For Systemic Use,J,Antivirals For Systemic Use,J05,Direct Acting Antivirals,J05A,Nucleosides And Nucleotides Excl Rev.Transcr.Inhib,J05AB
ADEMETIONINE,Ademetionine,Alimentary Tract And Metabolism,A,Other Alimentary Tract And Metabolism Products,A16,Other Alimentary Tract And Metabolism Products,A16A,Amino Acids And Derivatives,A16AA
AKTIFERRIN,Aktiferrin,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,"Iron Bivalent, Oral Preparations",B03AA
ALBUMIN,Albumin,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Blood And Related Products,B05A,Blood Substitutes And Plasma Protein Fractions,B05AA
ALENDRONATE SODIUM,Alendronate Sodium,Musculo-Skeletal System,M,Drugs For Treatment Of Bone Diseases,M05,Drugs Affecting Bone Structure And Mineralization,M05B,Bisphosphonates,M05BA
ALFUZOSIN,Alfuzosin,Cardiovascular System,C,Antihypertensives,C02,"Antiadrenergic Agents, Peripherally Acting",C02C,Alpha-Adrenoreceptor Antagonists,C02CA
ALFUZOSIN HYDROCHLORIDE,Alfuzosin Hydrochloride,Cardiovascular System,C,Antihypertensives,C02,"Antiadrenergic Agents, Peripherally Acting",C02C,Alpha-Adrenoreceptor Antagonists,C02CA
ALGIFEN,Algifen,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Antispasmodics In Combination With Analgesics,A03D,Other Antispasmodics In Combination W/ Analgesics,A03DC
ALISKIREN,Aliskiren,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,Other Agents Acting On The Renin-Angiotensin Syste,C09X,Renin-Inhibitors,C09XA
ALIZAPRIDE,Alizapride,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Propulsives,A03F,Propulsives,A03FA
ALIZAPRIDE HYDROCHLORIDE,Alizapride Hydrochloride,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Propulsives,A03F,Propulsives,A03FA
ALKONIUM BROMIDE,Alkonium Bromide,Dermatologicals,D,Antiseptics And Disinfectants,D08,Antiseptics And Disinfectants,D08A,Quaternary Ammonium Compounds,D08AJ
ALLEGRA-D,Allegra-D,Respiratory System,R,Nasal Preparations,R01,Nasal Decongestants For Systemic Use,R01B,Sympathomimetics,R01BA
ALLERGY MEDICATION,Allergy Medication,Respiratory System,R,,,,,"Antiallergic agents, excl. corticosteroids",R01AC
ALLIUM SATIVUM,Allium Sativum,Various,V,Unspecified Herbal,V90,,,,V90
ALLOPURINOL,Allopurinol,Musculo-Skeletal System,M,Antigout Preparations,M04,Antigout Preparations,M04A,Preparations Inhibiting Uric Acid Production,M04AA
ALPRAZOLAM,Alprazolam,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Benzodiazepine Derivatives,N05BA
ALUPENT-SED,Alupent-Sed,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,Adrenergics For Systemic Use,R03C,Non-Selective Beta-Adrenoreceptor Agonists,R03CB
AMBROXOL,Ambroxol,Respiratory System,R,Throat Preparations,R02,Throat Preparations,R02A,"Anesthetics, Local",R02AD
AMBROXOL HYDROCHLORIDE,Ambroxol Hydrochloride,Respiratory System,R,Throat Preparations,R02,Throat Preparations,R02A,"Anesthetics, Local",R02AD
AMIKACIN,Amikacin,Dermatologicals,D,Antibiotics And Chemother. For Dermatological Use,D06,Antibiotics For Topical Use,D06A,Other Antibiotics For Topical Use,D06AX
AMIKACIN SULFATE,Amikacin Sulfate,Dermatologicals,D,Antibiotics And Chemother. For Dermatological Use,D06,Antibiotics For Topical Use,D06A,Other Antibiotics For Topical Use,D06AX
AMINOCAPROIC ACID,Aminocaproic Acid,Blood And Blood Forming Organs,B,Antihemorrhagics,B02,Antifibrinolytics,B02A,Amino Acids,B02AA
AMINOSTERIL,Aminosteril,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions For Parenteral Nutrition,B05BA
AMITRIPTYLINE,Amitriptyline,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Non-Selective Monoamine Reuptake Inhibitors,N06AA
AMITRIPTYLINE HYDROCHLORIDE,Amitriptyline Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Non-Selective Monoamine Reuptake Inhibitors,N06AA
AMLODIPINE,Amlodipine,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Mainly Vasc. Eff.,C08C,Dihydropyridine Derivatives,C08CA
AMLODIPINE BESILATE,Amlodipine Besilate,Cardiovascular System,C,Calcium Channel Blockers,C08,Selective Calc.Channel Block. W/Mainly Vasc. Eff.,C08C,Dihydropyridine Derivatives,C08CA
AMOXICILLIN,Amoxicillin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,Penicillins With Extended Spectrum,J01CA
AMOXICILLIN W/CLAVULANATE POTASSIUM,Amoxicillin W/Clavulanate Potassium,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,"Comb Of Penicillins, Incl. Beta-Lactamase Inhib.",J01CR
AMPHOTERICIN B,Amphotericin B,Alimentary Tract And Metabolism,A,Stomatological Preparations,A01,Stomatological Preparations,A01A,Antiinfect. And Antisept. For Local Oral Treatment,A01AB
AMPICILLIN,Ampicillin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,Penicillins With Extended Spectrum,J01CA
ANCATROPINE,Ancatropine,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,Antacids With Antispasmodics,A02AG
ANEMIDOX FERRUM,Anemidox Ferrum,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Iron Preparations,B03A,Iron In Other Combinations,B03AE
ANTACIDS,Antacids,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,ANTACIDS,A02A
ANTIBIOTICS,Antibiotics,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinfectives,A07A,Antibiotics,A07AA
ANTIEPILEPTICS,Antiepileptics,Nervous System,N,Antiepileptics,N03,Antiepileptics,N03A,ANTIEPILEPTICS,N03A
ANTINEOPLASTIC AGENTS,Antineoplastic Agents,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,,,ANTINEOPLASTIC AGENTS,L01
ANTIVIRALS FOR SYSTEMIC USE,Antivirals For Systemic Use,Antiinfectives For Systemic Use,J,Antivirals For Systemic Use,J05,,,ANTIVIRALS FOR SYSTEMIC USE,J05
APOREX,Aporex,Nervous System,N,Analgesics,N02,Opioids,N02A,Diphenylpropylamine Derivatives,N02AC
APREPITANT,Aprepitant,Alimentary Tract And Metabolism,A,Antiemetics And Antinauseants,A04,Antiemetics And Antinauseants,A04A,Other Antiemetics,A04AD
ARGININE-SORBITOL,Arginine-Sorbitol,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solution Additives,B05X,Amino Acids,B05XB
ARIPIPRAZOLE,Aripiprazole,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,Other Antipsychotics,N05AX
ARTICAINE HYDROCHLORIDE,Articaine Hydrochloride,Nervous System,N,Anesthetics,N01,"Anesthetics, Local",N01B,Amides,N01BB
ASCORBIC ACID,Ascorbic Acid,Alimentary Tract And Metabolism,A,Vitamins,A11,"Ascorbic Acid (Vitamin C), Incl. Combinations",A11G,"Ascorbic Acid (Vitamin C), Plain",A11GA
ASCORUTIN,Ascorutin,Cardiovascular System,C,Vasoprotectives,C05,Capillary Stabilizing Agents,C05C,Bioflavonoids,C05CA
ASPARCAM,Asparcam,Alimentary Tract And Metabolism,A,Vitamins,A11,"Other Vitamin Products, Combinations",A11J,Vitamins With Minerals,A11JB
ASPARTOFORT,Aspartofort,Alimentary Tract And Metabolism,A,Bile And Liver Therapy,A05,"Liver Therapy, Lipotropics",A05B,Liver Therapy,A05BA
ATENOLOL,Atenolol,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Selective",C07AB
ATORVASTATIN,Atorvastatin,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Hmg Coa Reductase Inhibitors,C10AA
ATORVASTATIN CALCIUM,Atorvastatin Calcium,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Hmg Coa Reductase Inhibitors,C10AA
ATRACURIUM BESILATE,Atracurium Besilate,Musculo-Skeletal System,M,Muscle Relaxants,M03,"Muscle Relaxants, Peripherally Acting Agents",M03A,Other Quaternary Ammonium Compounds,M03AC
ATROPINE,Atropine,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,"Belladonna And Derivatives, Plain",A03B,"Belladonna Alkaloids, Tertiary Amines",A03BA
ATROPINE SULFATE,Atropine Sulfate,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,"Belladonna And Derivatives, Plain",A03B,"Belladonna Alkaloids, Tertiary Amines",A03BA
AUGMENTIN,Augmentin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,"Comb Of Penicillins, Incl. Beta-Lactamase Inhib.",J01CR
AZITHROMYCIN,Azithromycin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Macrolides, Lincosamides And Streptogramins",J01F,Macrolides,J01FA
BACLOFEN,Baclofen,Musculo-Skeletal System,M,Muscle Relaxants,M03,"Muscle Relaxants, Centrally Acting Agents",M03B,Other Centrally Acting Agents,M03BX
BACTRIM,Bactrim,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Sulfonamides And Trimethoprim,J01E,Comb.Sulfonamides & Trimethoprim Incl. Derivatives,J01EE
BARALGINA,Baralgina,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Antispasmodics In Combination With Analgesics,A03D,Synthetic Anticholin. Agents In Comb. W/Analgesics,A03DA
BARIUM SULFATE,Barium Sulfate,Various,V,Contrast Media,V08,"X-Ray Contrast Media, Non-Iodinated",V08B,Barium Sulfate Containing X-Ray Contrast Media,V08BA
BECLOMETASONE DIPROPIONATE,Beclometasone Dipropionate,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinflammatory Agents,A07E,Corticosteroids Acting Locally,A07EA
BECOSULES,Becosules,Alimentary Tract And Metabolism,A,Vitamins,A11,"Multivitamins, Plain",A11B,"Multivitamins, Plain",A11BA
BEFACT,Befact,Alimentary Tract And Metabolism,A,Vitamins,A11,"Vit B1,Plain And In Comb With Vitamin B6 And B12",A11D,Vit B1 In Comb With Vitamin B6 And/Or Vitamin B12,A11DB
BENAZEPRIL,Benazepril,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
BENAZEPRIL HYDROCHLORIDE,Benazepril Hydrochloride,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
BENZONATATE,Benzonatate,Respiratory System,R,Cough And Cold Preparations,R05,Cough Suppressants Excl. Comb. With Expectorants,R05D,Other Cough Suppressants,R05DB
BENZYLPENICILLIN,Benzylpenicillin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,"Beta-Lactam Antibacterials, Penicillins",J01C,Beta-Lactamase Sensitive Penicillins,J01CE
BETAMETHASONE,Betamethasone,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinflammatory Agents,A07E,Corticosteroids Acting Locally,A07EA
BETAMETHASONE DIPROPIONATE,Betamethasone Dipropionate,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinflammatory Agents,A07E,Corticosteroids Acting Locally,A07EA
BETAXOLOL HYDROCHLORIDE,Betaxolol Hydrochloride,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Selective",C07AB
BISACODYL,Bisacodyl,Alimentary Tract And Metabolism,A,Laxatives,A06,Laxatives,A06A,Contact Laxatives,A06AB
BISELECT,Biselect,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents And Thiazides,C07B,"Beta Blocking Agents, Selective, And Thiazides",C07BB
BISOPROLOL,Bisoprolol,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Selective",C07AB
BISOPROLOL FUMARATE,Bisoprolol Fumarate,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Selective",C07AB
BISULEPIN HYDROCHLORIDE,Bisulepin Hydrochloride,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Other Antihistamines For Systemic Use,R06AX
BLOOD AND RELATED PRODUCTS,Blood And Related Products,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Blood And Related Products,B05A,BLOOD AND RELATED PRODUCTS,B05A
"BLOOD CELLS, PACKED HUMAN","Blood Cells, Packed Human",Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,Blood And Related Products,B05A,BLOOD AND RELATED PRODUCTS,B05A
"BLOOD TRANSFUSION, AUXILIARY PRODUCTS","Blood Transfusion, Auxiliary Products",Various,V,All Other Non-Therapeutic Products,V07,All Other Non-Therapeutic Products,V07A,"Blood Transfusion, Auxiliary Products",V07AC
BLOPRESS PLUS,Blopress Plus,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Combinations",C09D,Angiotensin Ii Antagonists And Diuretics,C09DA
BREVA,Breva,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Adrenergics, Inhalants",R03A,Adrenergics And Oth.Drugs For Obstruct.Airway Dis.,R03AK
BROMAZEPAM,Bromazepam,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Benzodiazepine Derivatives,N05BA
BROMHEXINE HYDROCHLORIDE,Bromhexine Hydrochloride,Respiratory System,R,Cough And Cold Preparations,R05,"Expectorants,Excl Combinations With Cough Suppr.",R05C,Mucolytics,R05CB
BROTIZOLAM,Brotizolam,Nervous System,N,Psycholeptics,N05,Hypnotics And Sedatives,N05C,Benzodiazepine Derivatives,N05CD
BUDESONIDE,Budesonide,Alimentary Tract And Metabolism,A,"Antidiarr.,Intest. Antiinfl./Antiinfect. Agents",A07,Intestinal Antiinflammatory Agents,A07E,Corticosteroids Acting Locally,A07EA
BUDESONIDE W/FORMOTEROL FUMARATE,Budesonide W/Formoterol Fumarate,Respiratory System,R,Drugs For Obstructive Airway Diseases,R03,"Adrenergics, Inhalants",R03A,Adrenergics And Oth.Drugs For Obstruct.Airway Dis.,R03AK
BUMETANIDE,Bumetanide,Cardiovascular System,C,Diuretics,C03,High-Ceiling Diuretics,C03C,"Sulfonamides, Plain",C03CA
BUPRENORPHINE,Buprenorphine,Nervous System,N,Analgesics,N02,Opioids,N02A,Oripavine Derivatives,N02AE
BUPROPION,Bupropion,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Other Antidepressants,N06AX
BUPROPION HYDROCHLORIDE,Bupropion Hydrochloride,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Other Antidepressants,N06AX
BUSCOPAN COMP.,Buscopan Comp.,Alimentary Tract And Metabolism,A,Drugs For Functional Gastrointestinal Disorders,A03,Antispasmodics In Combination With Analgesics,A03D,Belladonna And Derivatives In Comb With Analgesics,A03DB
CALAMINE,Calamine,Dermatologicals,D,Emollients And Protectives,D02,Emollients And Protectives,D02A,Zinc Products,D02AB
CALCIUM,Calcium,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Calcium,A12A,Calcium,A12AA
CALCIUM ACETATE,Calcium Acetate,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Calcium,A12A,Calcium,A12AA
CALCIUM CARBONATE,Calcium Carbonate,Alimentary Tract And Metabolism,A,Drugs For Acid Related Disorders,A02,Antacids,A02A,Calcium Compounds,A02AC
CALCIUM D3,Calcium D3,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Calcium,A12A,"Calcium, Combinations With Other Drugs",A12AX
CALCIUM FOLINATE,Calcium Folinate,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Vitamin B12 And Folic Acid,B03B,Folic Acid And Derivatives,B03BB
CALCIUM GLUCONATE,Calcium Gluconate,Alimentary Tract And Metabolism,A,Mineral Supplements,A12,Calcium,A12A,Calcium,A12AA
CALCIUM LEVOFOLINATE,Calcium Levofolinate,Blood And Blood Forming Organs,B,Antianemic Preparations,B03,Vitamin B12 And Folic Acid,B03B,Folic Acid And Derivatives,B03BB
CANDESARTAN,Candesartan,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Angiotensin Ii Antagonists, Plain",C09C,"Angiotensin Ii Antagonists, Plain",C09CA
CAPECITABINE,Capecitabine,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Antimetabolites,L01B,Pyrimidine Analogues,L01BC
CAPIVEN,Capiven,Cardiovascular System,C,Vasoprotectives,C05,Capillary Stabilizing Agents,C05C,Bioflavonoids,C05CA
CAPTOPRIL,Captopril,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Plain",C09A,"Ace Inhibitors, Plain",C09AA
CARBAMAZEPINE,Carbamazepine,Nervous System,N,Antiepileptics,N03,Antiepileptics,N03A,Carboxamide Derivatives,N03AF
CARISOPRODOL,Carisoprodol,Musculo-Skeletal System,M,Muscle Relaxants,M03,"Muscle Relaxants, Centrally Acting Agents",M03B,Carbamic Acid Esters,M03BA
CARTEOLOL,Carteolol,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,"Beta Blocking Agents, Non-Selective",C07AA
CARVEDILOL,Carvedilol,Cardiovascular System,C,Beta Blocking Agents,C07,Beta Blocking Agents,C07A,Alpha And Beta Blocking Agents,C07AG
CEFALEXIN,Cefalexin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,First-Generation Cephalosporins,J01DB
CEFAZOLIN,Cefazolin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,First-Generation Cephalosporins,J01DB
CEFAZOLIN SODIUM,Cefazolin Sodium,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,First-Generation Cephalosporins,J01DB
CEFDINIR,Cefdinir,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Third-Generation Cephalosporins,J01DD
CEFOTAXIME,Cefotaxime,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Third-Generation Cephalosporins,J01DD
CEFOTAXIME SODIUM,Cefotaxime Sodium,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Third-Generation Cephalosporins,J01DD
CEFOXITIN SODIUM,Cefoxitin Sodium,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Second-Generation Cephalosporins,J01DC
CEFTAZIDIME,Ceftazidime,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Third-Generation Cephalosporins,J01DD
CEFTRIAXONE,Ceftriaxone,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Third-Generation Cephalosporins,J01DD
CEFTRIAXONE SODIUM,Ceftriaxone Sodium,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Third-Generation Cephalosporins,J01DD
CEFUROXIME AXETIL,Cefuroxime Axetil,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Other Beta-Lactam Antibacterials,J01D,Second-Generation Cephalosporins,J01DC
CELECOXIB,Celecoxib,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Other Antineoplastic Agents,L01X,Other Antineoplastic Agents,L01XX
CERNEVIT,Cernevit,Alimentary Tract And Metabolism,A,Vitamins,A11,"Multivitamins, Plain",A11B,"Multivitamins, Plain",A11BA
CETIRIZINE HYDROCHLORIDE,Cetirizine Hydrochloride,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Piperazine Derivatives,R06AE
CHLORDIAZEPOXIDE HYDROCHLORIDE,Chlordiazepoxide Hydrochloride,Nervous System,N,Psycholeptics,N05,Anxiolytics,N05B,Benzodiazepine Derivatives,N05BA
CHLOROPYRAMINE,Chloropyramine,Dermatologicals,D,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04A,Antihistamines For Topical Use,D04AA
CHLOROPYRAMINE HYDROCHLORIDE,Chloropyramine Hydrochloride,Dermatologicals,D,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04A,Antihistamines For Topical Use,D04AA
CHLORPHENAMINE,Chlorphenamine,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Substituted Alkylamines,R06AB
CHLORPHENAMINE MALEATE,Chlorphenamine Maleate,Respiratory System,R,Antihistamines For Systemic Use,R06,Antihistamines For Systemic Use,R06A,Substituted Alkylamines,R06AB
CHLORPROMAZINE,Chlorpromazine,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,Phenothiazines With Aliphatic Side-Chain,N05AA
CHLORPROMAZINE HYDROCHLORIDE,Chlorpromazine Hydrochloride,Nervous System,N,Psycholeptics,N05,Antipsychotics,N05A,Phenothiazines With Aliphatic Side-Chain,N05AA
CHLORTALIDONE,Chlortalidone,Cardiovascular System,C,Diuretics,C03,"Low-Ceiling Diuretics, Excl. Thiazides",C03B,"Sulfonamides, Plain",C03BA
CHONDROITIN,Chondroitin,Genito Urinary System And Sex Hormones,G,Urologicals,G04,"Other Urologicals, Incl. Antispasmodics",G04B,Other Urologicals,G04BX
CHONDROITIN SULFATE SODIUM,Chondroitin Sulfate Sodium,Musculo-Skeletal System,M,Antiinflammatory And Antirheumatic Products,M01,"Antiinflammatory/Antirheumatic Prod.,Non-Steroids",M01A,"Other Antiinfl./Antirheumatic Agents, Non-Steroids",M01AX
CIBADREX,Cibadrex,Cardiovascular System,C,Agents Acting On The Renin-Angiotensin System,C09,"Ace Inhibitors, Combinations",C09B,Ace Inhibitors And Diuretics,C09BA
CINNARIZINE,Cinnarizine,Nervous System,N,Other Nervous System Drugs,N07,Antivertigo Preparations,N07C,Antivertigo Preparations,N07CA
CIPROFLOXACIN,Ciprofloxacin,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Quinolone Antibacterials,J01M,Fluoroquinolones,J01MA
CIPROFLOXACIN LACTATE,Ciprofloxacin Lactate,Antiinfectives For Systemic Use,J,Antibacterials For Systemic Use,J01,Quinolone Antibacterials,J01M,Fluoroquinolones,J01MA
CISATRACURIUM BESILATE,Cisatracurium Besilate,Musculo-Skeletal System,M,Muscle Relaxants,M03,"Muscle Relaxants, Peripherally Acting Agents",M03A,Other Quaternary Ammonium Compounds,M03AC
CISPLATIN,Cisplatin,Antineoplastic And Immunomodulating Agents,L,Antineoplastic Agents,L01,Other Antineoplastic Agents,L01X,Platinum Compounds,L01XA
CITALOPRAM,Citalopram,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Selective Serotonin Reuptake Inhibitors,N06AB
CITALOPRAM HYDROBROMIDE,Citalopram Hydrobromide,Nervous System,N,Psychoanaleptics,N06,Antidepressants,N06A,Selective Serotonin Reuptake Inhibitors,N06AB
CLEMASTINE FUMARATE,Clemastine Fumarate,Dermatologicals,D,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04,"Antipruritics,Incl Antihist,Anesthet,Etc.",D04A,Antihistamines For Topical Use,D04AA
CLINDAMYCIN,Clindamycin,Dermatologicals,D,Anti-Acne Preparations,D10,Anti-Acne Preparations For Topical Use,D10A,Antiinfectives For Treatment Of Acne,D10AF
CLINOMEL,Clinomel,Blood And Blood Forming Organs,B,Blood Substitutes And Perfusion Solutions,B05,I.V. Solutions,B05B,Solutions For Parenteral Nutrition,B05BA
CLOBETASOL PROPIONATE,Clobetasol Propionate,Dermatologicals,D,"Corticosteroids, Dermatological Preparations",D07,"Corticosteroids, Plain",D07A,"Corticosteroids, Very Potent (Group Iv)",D07AD
CLOFIBRATE,Clofibrate,Cardiovascular System,C,Lipid Modifying Agents,C10,"Lipid Modifying Agents, Plain",C10A,Fibrates,C10AB
