Lowest Level Term,Lowest Level Term Code,Preferred Term,Preferred Term Code,High Level Term,High Level Term Code,High Level Group Term,High Level Group Term Code,Body System Or Organ Class,Boody System Or Organ Class Code,AESOC,AESOCCD,sourcedataset,sourcevariable,sourcevalue,sourcetype
Jaundice NOS,10023139,Jaundice,10023126,Haemolyses NEC,10018913,Haemolyses and related conditions,10018911,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Jaundice,character
Leucopenia,10024283,Leukopenia,10024384,Leukopenias NEC,10024385,White blood cell disorders,10047954,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Leucopenia,character
Leucocytopenia,10068178,Leukopenia,10024384,Leukopenias NEC,10024385,White blood cell disorders,10047954,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Leucocytopenia,character
Leukopenia NOS,10024285,Leukopenia,10024384,Leukopenias NEC,10024385,White blood cell disorders,10047954,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Leukopenia,character
Lymphedema,10025233,Lymphoedema,10025282,Lymphatic system disorders NEC,10025198,"Spleen, lymphatic and reticuloendothelial system disorders",10041641,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Lymphedema,character
Neutropenia aggravated,10029356,Neutropenia,10029354,Neutropenias,10029355,White blood cell disorders,10047954,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Neutropenia,character
Palpitation,10033556,Palpitations,10033557,Cardiac signs and symptoms NEC,10007609,Cardiac disorder signs and symptoms,10007539,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Palpitation,character
"Thrombocytopenia, unspecified",10043560,Thrombocytopenia,10043554,Thrombocytopenias,10043555,Platelet disorders,10035534,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Thrombocytopenia,character
Thrombopenia,10043569,Thrombocytopenia,10043554,Thrombocytopenias,10043555,Platelet disorders,10035534,Blood and lymphatic system disorders,10005329,Blood and lymphatic system disorders,10005329,ae,AELLT,Thrombopenia,character
Myocardial infarction acute,10028597,Acute myocardial infarction,10000891,Ischaemic coronary artery disorders,10011085,Coronary artery disorders,10011082,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Acute myocardial infarction,character
Chest distressed feeling,10008471,Chest discomfort,10008469,Ischaemic coronary artery disorders,10011085,Coronary artery disorders,10011082,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Chest discomfort,character
Pain chest,10033387,Chest pain,10008479,Ischaemic coronary artery disorders,10011085,Coronary artery disorders,10011082,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Chest pain,character
Dyspnea,10013963,Dyspnoea,10013968,Dyspnoeas,10013975,Cardiac disorder signs and symptoms,10007539,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Dyspnea,character
Dyspnoea NOS,10013972,Dyspnoea,10013968,Dyspnoeas,10013975,Cardiac disorder signs and symptoms,10007539,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Dyspnoea,character
Shortness of breath,10040604,Dyspnoea,10013968,Dyspnoeas,10013975,Cardiac disorder signs and symptoms,10007539,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Shortness of breath,character
Exertional dyspnea,10055548,Dyspnoea exertional,10013971,Dyspnoeas,10013975,Cardiac disorder signs and symptoms,10007539,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Exertional dyspnea,character
Effusion pericardial,10014311,Pericardial effusion,10034474,Pericardial disorders NEC,10034469,Pericardial disorders,10034468,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Pericardial effusion,character
Right ventricular dysfunction,10058597,Right ventricular dysfunction,10058597,Myocardial disorders NEC,10028590,Myocardial disorders,10028593,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Right ventricular dysfunction,character
Bradycardia sinus,10006098,Sinus bradycardia,10040741,Supraventricular arrhythmias,10042600,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Sinus bradycardia,character
Tachycardia sinus,10043083,Sinus tachycardia,10040752,Supraventricular arrhythmias,10042600,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Sinus tachycardia,character
Paroxysmal supraventricular tachycardia,10034044,Supraventricular tachycardia,10042604,Supraventricular arrhythmias,10042600,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Paroxysmal supraventricular tachycardia,character
Tachycardia NOS,10043078,Tachycardia,10043071,Rate and rhythm disorders NEC,10037908,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Tachycardia,character
Ventricular bigeminy,10050779,Ventricular extrasystoles,10047289,Ventricular arrhythmias and cardiac arrest,10047283,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Ventricular bigeminy,character
Extrasystoles ventricular,10015864,Ventricular extrasystoles,10047289,Ventricular arrhythmias and cardiac arrest,10047283,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Ventricular extrasystoles,character
Fibrillation ventricular,10016573,Ventricular fibrillation,10047290,Ventricular arrhythmias and cardiac arrest,10047283,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,Cardiac disorders,10007541,ae,AELLT,Ventricular fibrillation,character
Hearing loss,10019246,Deafness,10011878,Hearing losses,10011879,Hearing disorders,10019243,Ear and labyrinth disorders,10013993,Ear and labyrinth disorders,10013993,ae,AELLT,Hearing loss,character
Ear congestion,10052136,Ear congestion,10052136,Ear disorders NEC,10027666,Aural disorders NEC,10027667,Ear and labyrinth disorders,10013993,Ear and labyrinth disorders,10013993,ae,AELLT,Ear congestion,character
Sensation of pressure in ear,10040004,Ear discomfort,10052137,Ear disorders NEC,10027666,Aural disorders NEC,10027667,Ear and labyrinth disorders,10013993,Ear and labyrinth disorders,10013993,ae,AELLT,Sensation of pressure in ear,character
Ringing in ears,10039183,Tinnitus,10043882,Inner ear signs and symptoms,10022398,Inner ear and VIIIth cranial nerve disorders,10022396,Ear and labyrinth disorders,10013993,Ear and labyrinth disorders,10013993,ae,AELLT,Tinnitus,character
Hyposphagma,10062689,Conjunctival haemorrhage,10010719,Conjunctival and corneal bleeding and vascular disorders,10010728,Ocular haemorrhages and vascular disorders NEC,10047061,Eye disorders,10015919,Eye disorders,10015919,ae,AELLT,Hyposphagma,character
Dry eyes,10013778,Dry eye,10013774,Lacrimation disorders,10072989,Eye disorders NEC,10015917,Eye disorders,10015919,Eye disorders,10015919,ae,AELLT,Dry eyes,character
Burning eyes,10006774,Eye irritation,10015946,"Ocular infections, inflammations and associated manifestations",10030045,"Ocular infections, irritations and inflammations",10021877,Eye disorders,10015919,Eye disorders,10015919,ae,AELLT,Burning eyes,character
Pain in eyes,10033426,Eye pain,10015958,Ocular disorders NEC,10030032,Eye disorders NEC,10015917,Eye disorders,10015919,Eye disorders,10015919,ae,AELLT,Pain eye,character
Visual disturbance NOS,10047544,Visual impairment,10047571,Visual disorders NEC,10047541,Vision disorders,10047518,Eye disorders,10015919,Eye disorders,10015919,ae,AELLT,Visual disturbance NOS,character
Visual disturbance,10047543,Visual impairment,10047571,Visual disorders NEC,10047541,Vision disorders,10047518,Eye disorders,10015919,Eye disorders,10015919,ae,AELLT,Visual disturbance,character
Abdominal abscess NOS,10000048,Abdominal abscess,10060921,"Gastrointestinal infections, site unspecified",10017968,Gastrointestinal infections,10017966,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Abdominal abscess,character
Stomach heaviness,10042108,Abdominal discomfort,10000059,Gastrointestinal signs and symptoms NEC,10027678,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Stomach heaviness,character
Distress abdominal,10013488,Abdominal discomfort,10000059,Gastrointestinal signs and symptoms NEC,10027678,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Abdominal discomfort,character
Gastrointestinal discomfort,10054209,Abdominal discomfort,10000059,Gastrointestinal signs and symptoms NEC,10027678,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Gastrointestinal discomfort,character
Stomach feeling heavy,10042104,Abdominal discomfort,10000059,Gastrointestinal signs and symptoms NEC,10027678,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Stomach feeling heavy,character
Abdominal bloating,10048746,Abdominal distension,10000060,"Flatulence, bloating and distension",10016770,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Abdominal bloating,character
Distended abdomen,10013480,Abdominal distension,10000060,"Flatulence, bloating and distension",10016770,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Abdominal distension,character
Feeling of fullness in abdomen,10016348,Abdominal distension,10000060,"Flatulence, bloating and distension",10016770,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Feeling of fullness in abdomen,character
Pain abdominal,10033374,Abdominal pain,10000081,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Abdominal pain,character
Abdominal cramps,10000057,Abdominal pain,10000081,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Abdominal cramps,character
Abdominal pain aggravated,10048358,Abdominal pain,10000081,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Abdominal pain aggravated,character
Abdominal pain localized,10062367,Abdominal pain,10000081,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Abdominal pain localized,character
Colic,10009881,Abdominal pain,10000081,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Colic,character
Postprandial pain,10065606,Abdominal pain,10000081,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Postprandial pain,character
Lower abdominal pain,10024940,Abdominal pain lower,10000084,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Lower abdominal pain,character
Iliac fossa pain,10021341,Abdominal pain lower,10000084,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Iliac fossa pain,character
Left lower quadrant pain,10052347,Abdominal pain lower,10000084,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Left lower quadrant pain,character
Right lower quadrant pain,10058051,Abdominal pain lower,10000084,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Right lower quadrant pain,character
Epigastric pain,10015026,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Epigastric pain,character
Epigastralgia,10048944,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Epigastralgia,character
Gastralgia,10064906,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Gastralgia,character
Gastric pain,10017814,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Gastric pain,character
Hypochondrial pain,10020964,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Hypochondrial pain,character
Left upper quadrant pain,10059592,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Left upper quadrant pain,character
Pancreatic pain,10059606,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Pancreatic pain,character
Right upper quadrant pain,10039162,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Right upper quadrant pain,character
Stomach pain,10042112,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Stomach pain,character
Upper abdominal pain,10046272,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Upper abdominal pain,character
Upper abdominal tenderness,10069064,Abdominal tenderness,10000097,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Upper abdominal tenderness,character
Perianal abscess,10034447,Anal abscess,10048946,"Anal, rectal, perianal and perirectal infections",10002114,Gastrointestinal infections,10017966,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Anal abscess,character
Oral aphthae,10030960,Aphthous ulcer,10002959,Stomatitis and ulceration,10042129,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Oral aphthae,character
Obstruction colon,10029954,Large intestinal obstruction,10062062,Large intestinal stenosis and obstruction,10023796,Gastrointestinal stenosis and obstruction,10018008,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Obstruction colon,character
Absent bowel movement,10077302,Constipation,10010774,Gastrointestinal atonic and hypomotility disorders NEC,10017933,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Constipation,character
Obstipation,10029932,Constipation,10010774,Gastrointestinal atonic and hypomotility disorders NEC,10017933,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Obstipation,character
Diarrhea,10012727,Diarrhoea,10012735,Diarrhoea (excl infective),10012736,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Diarrhoea,character
Mouth dry,10028021,Dry mouth,10013781,Oral dryness and saliva altered,10030975,Salivary gland conditions,10039404,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Dry mouth,character
Obstruction duodenal,10029955,Duodenal obstruction,10013830,Duodenal and small intestinal stenosis and obstruction,10013811,Gastrointestinal stenosis and obstruction,10018008,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Duodenal obstruction,character
Duodenal stricture,10013834,Duodenal stenosis,10050094,Duodenal and small intestinal stenosis and obstruction,10013811,Gastrointestinal stenosis and obstruction,10018008,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Duodenal stenosis,character
Heartburn,10019326,Dyspepsia,10013946,Dyspeptic signs and symptoms,10013949,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Heartburn,character
Indigestion,10021706,Dyspepsia,10013946,Dyspeptic signs and symptoms,10013949,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Dyspepsia,character
Pyrosis,10037676,Dyspepsia,10013946,Dyspeptic signs and symptoms,10013949,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Pyrosis,character
Swallowing impaired,10042647,Dysphagia,10013950,Gastrointestinal signs and symptoms NEC,10027678,Gastrointestinal signs and symptoms,10027678,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Dysphagia,character
Discomfort epigastric,10013087,Epigastric discomfort,10053155,Dyspeptic signs and symptoms,10013949,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Epigastric discomfort,character
Belching,10004222,Eructation,10015137,Dyspeptic signs and symptoms,10013949,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Belching,character
Flatus,10016769,Flatulence,10016766,"Flatulence, bloating and distension",10016770,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Flatulence,character
Meteorism,10027493,Flatulence,10016766,"Flatulence, bloating and distension",10016770,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Meteorism,character
Gastroenteritis NOS,10017907,Gastroenteritis,10017888,Gastric and gastroenteric infections,10017887,Gastrointestinal infections,10017966,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Gastroenteritis,character
Gastrointestinal hemorrhage,10017960,Gastrointestinal haemorrhage,10017955,Non-site specific gastrointestinal haemorrhages,10017958,Gastrointestinal haemorrhages NEC,10017959,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Gastrointestinal bleed,character
Gastrointestinal ischemia,10059039,Gastrointestinal ischaemia,10059028,Gastrointestinal vascular occlusion and infarction,10017997,Gastrointestinal vascular conditions,10018031,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Gastrointestinal ischemia,character
Gastrointestinal motility disorder NOS,10017978,Gastrointestinal motility disorder,10061173,Gastrointestinal dyskinetic disorders,10017950,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Alternation between constipation and diarrhea,character
Bowel motility disorder,10048466,Gastrointestinal motility disorder,10061173,Gastrointestinal dyskinetic disorders,10017950,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Bowel motility disorder,character
Gastroesophageal reflux,10017924,Gastrooesophageal reflux disease,10017885,Gastrointestinal atonic and hypomotility disorders NEC,10017933,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Gastroesophageal reflux,character
Burning tongue,10006793,Tongue discomfort,10077855,Tongue signs and symptoms,10043985,Tongue conditions,10043946,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Burning tongue,character
Hematemesis,10019418,Haematemesis,10018830,Non-site specific gastrointestinal haemorrhages,10017958,Gastrointestinal haemorrhages NEC,10017959,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Vomiting blood,character
Hiccup,10020038,Hiccups,10020039,Gastrointestinal signs and symptoms NEC,10027678,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Hiccups,character
Hiccough,10020037,Hiccups,10020039,Gastrointestinal signs and symptoms NEC,10027678,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Hiccough,character
Ileus of colon,10021331,Ileus,10021328,Gastrointestinal stenosis and obstruction NEC,10018009,Gastrointestinal stenosis and obstruction,10018008,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Ileus,character
Left inguinal hernia,10024109,Hernia inguinal,10019917,Inguinal hernias,10022017,Abdominal hernias and other abdominal wall conditions,10000073,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Left inguinal hernia,character
Intestinal obstruction NOS,10022690,Intestinal obstruction,10022687,Gastrointestinal stenosis and obstruction NEC,10018009,Gastrointestinal stenosis and obstruction,10018008,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Intestinal obstruction,character
Bowel obstruction,10006055,Intestinal obstruction,10022687,Gastrointestinal stenosis and obstruction NEC,10018009,Gastrointestinal stenosis and obstruction,10018008,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Bowel obstruction,character
Nauseous,10028823,Nausea,10028813,Nausea and vomiting symptoms,10028817,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Nausea,character
Nausea post chemotherapy,10056989,Nausea,10028813,Nausea and vomiting symptoms,10028817,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Nausea post chemotherapy,character
Swallowing painful,10042648,Odynophagia,10030094,Oral soft tissue pain and paraesthesia,10031019,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Odynophagia,character
Candidiasis of the oesophagus,10056094,Oesophageal candidiasis,10030154,Oesophageal infections,10030173,Gastrointestinal infections,10017966,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Oesophageal candidiasis,character
Esophageal pain,10015388,Oesophageal pain,10030180,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Esophageal pain,character
Oesophagitis NOS,10030220,Oesophagitis,10030216,Oesophagitis (excl infective),10053171,Gastrointestinal inflammatory conditions,10017969,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Oesophagitis,character
Esophagitis hemorrhagic,10055309,Oesophagitis haemorrhagic,10030219,Oesophagitis (excl infective),10053171,Gastrointestinal inflammatory conditions,10017969,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Esophagitis hemorrhagic,character
Candidiasis of mouth,10007156,Oral candidiasis,10030963,Oral soft tissue infections,10031017,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Oral candidiasis,character
Oral thrush,10031026,Oral candidiasis,10030963,Oral soft tissue infections,10031017,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Oral thrush,character
Sore throat,10041367,Oropharyngeal pain,10068319,Oral soft tissue signs and symptoms,10031021,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Sore throat,character
Throat pain,10043523,Oropharyngeal pain,10068319,Oral soft tissue signs and symptoms,10031021,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Throat pain,character
Pancreatitis NOS,10033656,Pancreatitis,10033645,Acute and chronic pancreatitis,10033646,Exocrine pancreas conditions,10015674,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Pancreatitis,character
Perianal pain,10067119,Proctalgia,10036772,Anal and rectal pains,10002115,Anal and rectal conditions NEC,10002112,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Perianal pain,character
Small bowel obstruction,10041055,Small intestinal obstruction,10041101,Duodenal and small intestinal stenosis and obstruction,10013811,Gastrointestinal stenosis and obstruction,10018008,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,ae,AELLT,Small bowel obstruction,character
